objectid,seg_id,hundred_block_score,l_hundred_block,r_hundred_block,street_class,street_class_name
67,420542,1.33333333,2000 SPRING GARDEN ST,0 SPRING GARDEN ST,2,Major Arterial
68,420410,1.33333333,2000 MOUNT VERNON ST,2000 MOUNT VERNON ST,5,Local
69,421797,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
70,420415,1.33333333,2100 CLAY ST,2100 CLAY ST,5,Local
71,421798,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
72,521309,2.33333333,1500 INGERSOLL ST,1500 INGERSOLL ST,5,Local
73,422199,2,1500 W CABOT ST,1500 W CABOT ST,5,Local
74,521298,1.33333333,1500 MASTER ST,1500 MASTER ST,4,Collector
75,521299,1.33333333,1500 MASTER ST,1500 MASTER ST,4,Collector
76,521300,1.55555556,1400 MASTER ST,1400 MASTER ST,4,Collector
77,420085,2.22222222,1500 SEYBERT ST,1500 SEYBERT ST,5,Local
78,420107,1.33333333,1300 N 15TH ST,1300 N 15TH ST,4,Collector
79,521303,2,1300 N 16TH ST,1300 N 16TH ST,4,Collector
80,420084,1.33333333,1300 N 15TH ST,1300 N 15TH ST,4,Collector
81,521306,1.33333333,1300 N 15TH ST,1300 N 15TH ST,4,Collector
82,420108,2,1500 W THOMPSON ST,1500 W THOMPSON ST,4,Collector
83,420111,2.22222222,1300 N CARLISLE ST,1300 N CARLISLE ST,5,Local
84,420109,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
85,420112,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
86,420113,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
87,420147,2,1200 N CARLISLE ST,1200 N CARLISLE ST,5,Local
88,420148,1.33333333,1400 W STILES ST,1400 W STILES ST,5,Local
89,420145,1.33333333,1400 W STILES ST,1400 W STILES ST,5,Local
90,420144,2,1200 BURNS ST,1200 BURNS ST,5,Local
91,422029,2,1200 N 15TH ST,1200 N 15TH ST,4,Collector
92,422323,2,1200 N 15TH ST,1200 N 15TH ST,4,Collector
93,422324,2,1200 N 15TH ST,1200 N 15TH ST,4,Collector
94,420197,2.66666667,1400 W GIRARD AVE,1400 W GIRARD AVE,2,Major Arterial
95,420073,2,1300 N 16TH ST,1300 N 16TH ST,4,Collector
96,420095,2,1300 N 16TH ST,1300 N 16TH ST,4,Collector
97,420217,2.66666667,900 N 15TH ST,900 N 15TH ST,4,Collector
98,420124,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
99,420136,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
100,420141,2,1500 W STILES ST,1500 W STILES ST,5,Local
101,420153,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
102,420162,2,1500 W FLORA ST,1500 W FLORA ST,5,Local
103,420186,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
104,420194,2,1500 W GIRARD AVE,1500 W GIRARD AVE,2,Major Arterial
105,420212,2,900 N 16TH ST,900 N 16TH ST,4,Collector
106,420218,2.66666667,1500 CAMBRIDGE ST,1500 CAMBRIDGE ST,5,Local
107,420221,2.66666667,1400 CAMBRIDGE ST,1400 CAMBRIDGE ST,5,Local
108,420220,4,900 N CARLISLE ST,900 N CARLISLE ST,5,Local
109,420096,1.76010101,1600 W THOMPSON ST,1600 W THOMPSON ST,4,Collector
110,420125,1.33333333,1600 W CABOT ST,1600 W CABOT ST,5,Local
111,420115,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
112,420132,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
113,420137,1.33333333,1600 W STILES ST,1600 W STILES ST,5,Local
114,420154,2,1600 W FLORA ST,1600 W FLORA ST,5,Local
115,420142,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
116,420180,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
117,421606,2,1600 W GIRARD AVE,1600 W GIRARD AVE,2,Major Arterial
118,420088,2,1700 W THOMPSON ST,1700 W THOMPSON ST,4,Collector
119,420079,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
120,420101,1.33333333,1800 W CABOT ST,1800 W CABOT ST,5,Local
121,420100,1.66666667,1200 N 18TH ST,1200 N 18TH ST,4,Collector
122,420054,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
123,420055,2,1800 SEYBERT ST,1800 SEYBERT ST,5,Local
124,420048,2.66666667,1300 N 19TH ST,1300 N 19TH ST,4,Collector
125,521262,2.66666667,1300 N 19TH ST,1300 N 19TH ST,4,Collector
126,521270,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
127,521290,2,1800 INGERSOLL ST,1800 INGERSOLL ST,5,Local
128,521263,2.66666667,1300 N 19TH ST,1300 N 19TH ST,4,Collector
129,521269,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
130,421461,2.66666667,800 N 15TH ST,800 N 15TH ST,4,Collector
131,421462,2,700 N 15TH ST,700 N 15TH ST,4,Collector
132,421459,2.66666667,1500 RIDGE AVE,1500 RIDGE AVE,3,Minor Arterial
133,422891,2,1400 PARRISH ST,1400 PARRISH ST,4,Collector
134,422020,2.66666667,1400 BROWN ST,1400 BROWN ST,4,Collector
135,421466,3,800 N CARLISLE ST,800 N CARLISLE ST,5,Local
136,422101,2.66666667,1400 OGDEN ST,1400 OGDEN ST,5,Local
137,422105,3,800 N CARLISLE ST,800 N CARLISLE ST,5,Local
138,421522,3,800 N CARLISLE ST,800 N CARLISLE ST,5,Local
139,421458,2.66666667,1500 RIDGE AVE,1500 RIDGE AVE,3,Minor Arterial
140,421470,3.33333333,1500 SWAIN ST,1500 SWAIN ST,5,Local
141,421485,2,700 N 16TH ST,700 N 16TH ST,4,Collector
142,421472,1.33333333,1600 BROWN ST,1600 BROWN ST,4,Collector
143,421474,2,1600 SWAIN ST,1600 SWAIN ST,5,Local
144,421476,2,700 N CHADWICK ST,700 N CHADWICK ST,5,Local
145,421473,2,1600 SWAIN ST,1600 SWAIN ST,5,Local
146,421479,2.66666667,700 N 17TH ST,700 N 17TH ST,4,Collector
147,421480,2.66666667,700 N 17TH ST,700 N 17TH ST,4,Collector
148,421482,2.66666667,700 N 17TH ST,700 N 17TH ST,4,Collector
149,421481,2,700 N 16TH ST,700 N 16TH ST,4,Collector
150,421483,2,700 N 16TH ST,700 N 16TH ST,4,Collector
151,421449,2,1600 FAIRMOUNT AVE,1600 FAIRMOUNT AVE,3,Minor Arterial
152,421484,2.66666667,700 N 17TH ST,700 N 17TH ST,4,Collector
153,421450,1.33333333,1700 FAIRMOUNT AVE,1700 FAIRMOUNT AVE,3,Minor Arterial
154,421478,2.33333333,1700 OLIVE ST,1700 OLIVE ST,5,Local
155,421494,2.66666667,700 N 18TH ST,700 N 18TH ST,4,Collector
156,420475,1.33333333,1800 GREEN ST,1800 GREEN ST,4,Collector
157,420487,1.33333333,500 N 19TH ST,500 N 19TH ST,4,Collector
158,420514,1.33333333,500 N 18TH ST,500 N 18TH ST,4,Collector
159,420527,1.33333333,1700 BRANDYWINE ST,1700 BRANDYWINE ST,4,Collector
160,421445,2,600 N 19TH ST,600 N 19TH ST,4,Collector
161,420462,2,600 N 19TH ST,600 N 19TH ST,4,Collector
162,421803,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
163,421800,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
164,420387,1.33333333,2000 WALLACE ST,2000 WALLACE ST,4,Collector
165,421807,1.33333333,600 N 20TH ST,600 N 20TH ST,4,Collector
166,420392,1.33333333,1900 WALLACE ST,1900 WALLACE ST,4,Collector
167,420366,1.33333333,2000 NORTH ST,2000 NORTH ST,5,Local
168,421806,1.33333333,600 N 20TH ST,600 N 20TH ST,4,Collector
1,521293,4,1800 KERSHAW ST,1800 KERSHAW ST,5,Local
2,521268,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
3,521289,2,1900 INGERSOLL ST,1900 INGERSOLL ST,5,Local
4,521255,2,1800 MASTER ST,1800 MASTER ST,4,Collector
5,420128,1.33333333,1800 W STILES ST,1800 W STILES ST,5,Local
6,420127,1.66666667,1200 N 18TH ST,1200 N 18TH ST,4,Collector
7,421610,1.33333333,1200 N 20TH ST,1200 N 20TH ST,4,Collector
8,421601,1.33333333,1900 W GIRARD AVE,1900 W GIRARD AVE,2,Major Arterial
9,421591,2,1200 N 19TH ST,1200 N 19TH ST,4,Collector
10,420126,1.33333333,1800 W STILES ST,1800 W STILES ST,5,Local
11,420119,2,1900 RIDGE AVE,1900 RIDGE AVE,3,Minor Arterial
12,420118,2,1200 N 19TH ST,1200 N 19TH ST,4,Collector
13,421588,2,1800 RIDGE AVE,1800 RIDGE AVE,3,Minor Arterial
14,421602,2.66666667,1800 W GIRARD AVE,1800 W GIRARD AVE,2,Major Arterial
15,521256,2,1700 MASTER ST,1700 MASTER ST,4,Collector
16,521295,3.33333333,1700 INGERSOLL ST,1700 INGERSOLL ST,5,Local
17,421565,1.66666667,1900 W HARPER ST,1900 W HARPER ST,5,Local
18,421592,1.66666667,900 N 19TH ST,900 N 19TH ST,4,Collector
19,421611,2,900 N 20TH ST,900 N 20TH ST,4,Collector
20,421593,1.66666667,900 N 19TH ST,900 N 19TH ST,4,Collector
21,421594,1.66666667,900 N 19TH ST,900 N 19TH ST,4,Collector
22,421568,1.33333333,1900 W GEORGE ST,1900 W GEORGE ST,5,Local
23,421603,2.66666667,1800 W GIRARD AVE,1800 W GIRARD AVE,2,Major Arterial
24,420163,1.33333333,1200 N CLEVELAND ST,1200 N CLEVELAND ST,5,Local
25,421605,2,1700 W GIRARD AVE,1700 W GIRARD AVE,2,Major Arterial
26,420166,1.66666667,1200 N 18TH ST,1200 N 18TH ST,4,Collector
27,420708,1.33333333,1500 CALLOWHILL ST,1500 CALLOWHILL ST,3,Minor Arterial
28,422065,1.33333333,400 N 15TH ST,400 N 15TH ST,3,Minor Arterial
29,420702,1.33333333,1600 CALLOWHILL ST,1600 CALLOWHILL ST,3,Minor Arterial
30,420732,0,1600 CARLTON ST,1600 CARLTON ST,5,Local
31,420718,0,300 N 17TH ST,300 N 17TH ST,4,Collector
32,420696,1.33333333,1700 CALLOWHILL ST,1700 CALLOWHILL ST,3,Minor Arterial
33,420694,1.33333333,1700 CALLOWHILL ST,1700 CALLOWHILL ST,3,Minor Arterial
34,420524,1.33333333,500 N 19TH ST,500 N 19TH ST,4,Collector
35,422066,1.33333333,400 N 17TH ST,400 N 17TH ST,3,Minor Arterial
36,420562,1.33333333,1800 SPRING GARDEN ST,0 SPRING GARDEN ST,2,Major Arterial
37,420568,1.33333333,1700 SPRING GARDEN ST,0 SPRING GARDEN ST,2,Major Arterial
38,422341,1.33333333,400 N 19TH ST,400 N 19TH ST,3,Minor Arterial
39,422975,1.33333333,500 N 19TH ST,500 N 19TH ST,3,Minor Arterial
40,420515,1.33333333,1800 BRANDYWINE ST,1800 BRANDYWINE ST,4,Collector
41,420502,1.33333333,500 N 19TH ST,500 N 19TH ST,4,Collector
42,420488,1.33333333,1900 WILCOX ST,1900 WILCOX ST,5,Local
43,420525,1.33333333,1900 MONTEREY ST,1900 MONTEREY ST,5,Local
44,420554,2,1900 SPRING GARDEN ST,0 SPRING GARDEN ST,2,Major Arterial
45,420586,1.33333333,500 N 19TH ST,500 N 19TH ST,3,Minor Arterial
46,420587,1.33333333,1900 NECTARINE ST,1900 NECTARINE ST,5,Local
47,420573,1.33333333,500 N 20TH ST,500 N 20TH ST,3,Minor Arterial
48,420512,1.33333333,500 N 20TH ST,500 N 20TH ST,4,Collector
49,420503,1.33333333,1900 BRANDYWINE ST,1900 BRANDYWINE ST,4,Collector
50,420493,1.33333333,500 N 20TH ST,500 N 20TH ST,4,Collector
51,420402,1.33333333,2100 MOUNT VERNON ST,2100 MOUNT VERNON ST,5,Local
52,420418,1.33333333,1900 MOUNT VERNON ST,1900 MOUNT VERNON ST,5,Local
53,420440,1.33333333,2100 GREEN ST,2100 GREEN ST,4,Collector
54,420463,1.33333333,1900 GREEN ST,1900 GREEN ST,4,Collector
55,420478,1.33333333,500 N 20TH ST,500 N 20TH ST,4,Collector
56,421808,1.33333333,600 N 20TH ST,600 N 20TH ST,4,Collector
57,420453,1.33333333,2000 GREEN ST,2000 GREEN ST,4,Collector
58,421801,1.33333333,500 N 21ST ST,500 N 21ST ST,4,Collector
59,420460,1.33333333,2100 WILCOX ST,2100 WILCOX ST,5,Local
60,420451,1.33333333,500 N 22ND ST,500 N 22ND ST,4,Collector
61,420470,1.33333333,500 N 22ND ST,500 N 22ND ST,4,Collector
62,420494,1.33333333,2000 BRANDYWINE ST,2000 BRANDYWINE ST,4,Collector
63,421802,1.33333333,500 N 21ST ST,500 N 21ST ST,4,Collector
64,420481,1.33333333,2100 BRANDYWINE ST,2100 BRANDYWINE ST,4,Collector
65,421812,1.33333333,600 N 22ND ST,600 N 22ND ST,4,Collector
66,421813,1.33333333,600 N 22ND ST,600 N 22ND ST,4,Collector
371,422916,1.33333333,2100 COMMERCE ST,2100 COMMERCE ST,5,Local
372,421986,1.66666667,0 S 21ST ST,0 S 21ST ST,3,Minor Arterial
373,421283,1.33333333,2100 LUDLOW ST,2100 LUDLOW ST,5,Local
374,421988,1.66666667,0 S 21ST ST,0 S 21ST ST,3,Minor Arterial
375,421987,1.66666667,0 S 21ST ST,0 S 21ST ST,3,Minor Arterial
376,421985,1.66666667,2000 RANSTEAD ST,2000 RANSTEAD ST,5,Local
377,421405,1.33333333,2200 CHERRY ST,2200 CHERRY ST,4,Collector
378,421407,1.33333333,2100 APPLETREE ST,2100 APPLETREE ST,5,Local
379,421409,1.66666667,0 N 22ND ST,0 N 22ND ST,3,Minor Arterial
380,422910,1.66666667,0 N 22ND ST,0 N 22ND ST,3,Minor Arterial
381,421399,2,2100 ARCH ST,2100 ARCH ST,3,Minor Arterial
382,421400,2,2100 ARCH ST,2100 ARCH ST,3,Minor Arterial
383,422270,1.33333333,100 N BEECHWOOD ST,100 N BEECHWOOD ST,5,Local
384,421403,1.66666667,100 N 23RD ST,100 N 23RD ST,3,Minor Arterial
385,421401,1.33333333,2200 ARCH ST,2200 ARCH ST,3,Minor Arterial
386,421404,1.33333333,100 N CROSKEY ST,100 N CROSKEY ST,5,Local
387,421402,1.33333333,2200 ARCH ST,2200 ARCH ST,3,Minor Arterial
388,420838,1.66666667,100 N 22ND ST,100 N 22ND ST,3,Minor Arterial
389,421408,1.66666667,100 N 22ND ST,100 N 22ND ST,3,Minor Arterial
390,421406,1.33333333,2200 CHERRY ST,2200 CHERRY ST,4,Collector
391,422909,1.33333333,0 N 23RD ST,0 N 23RD ST,3,Minor Arterial
392,421428,2,100 N 21ST ST,100 N 21ST ST,3,Minor Arterial
393,421425,1.33333333,2000 RACE ST,2000 RACE ST,3,Minor Arterial
394,421418,1.66666667,100 N 23RD ST,100 N 23RD ST,3,Minor Arterial
395,421419,1.33333333,2100 RACE ST,2100 RACE ST,3,Minor Arterial
396,421420,1.33333333,2100 RACE ST,2100 RACE ST,3,Minor Arterial
397,421422,1.33333333,100 N VAN PELT ST,100 N VAN PELT ST,5,Local
398,420844,1.33333333,2100 CHERRY ST,2100 CHERRY ST,4,Collector
399,422054,1.33333333,2100 CHERRY ST,2100 CHERRY ST,4,Collector
400,422316,2,2200 SUMMER ST,2200 SUMMER ST,5,Local
401,420813,1.33333333,200 N 21ST ST,200 N 21ST ST,3,Minor Arterial
402,420793,1.33333333,200 N 21ST ST,200 N 21ST ST,3,Minor Arterial
403,420794,1.33333333,2100 SPRING ST,2100 SPRING ST,5,Local
404,421421,1.46666667,200 N VAN PELT ST,200 N VAN PELT ST,5,Local
405,420789,1.33333333,2100 SPRING ST,2100 SPRING ST,5,Local
406,420788,1.33333333,2100 SPRING ST,2100 SPRING ST,5,Local
407,420806,1.33333333,200 N 22ND ST,200 N 22ND ST,3,Minor Arterial
408,420783,1.33333333,200 N 22ND ST,200 N 22ND ST,3,Minor Arterial
409,422317,1.66666667,200 N 23RD ST,200 N 23RD ST,4,Collector
410,422124,1.66666667,200 N 23RD ST,200 N 23RD ST,3,Minor Arterial
411,420769,1.33333333,200 N 22ND ST,200 N 22ND ST,3,Minor Arterial
412,420765,2,2100 WINTER ST,2100 WINTER ST,3,Minor Arterial
413,420787,1.46666667,200 N VAN PELT ST,200 N VAN PELT ST,5,Local
414,420760,2,2100 WINTER ST,2100 WINTER ST,3,Minor Arterial
415,421749,1.33333333,2400 PARRISH ST,2400 PARRISH ST,5,Local
416,420237,2,800 N WOODSTOCK ST,800 N WOODSTOCK ST,5,Local
417,420269,2,800 N WOODSTOCK ST,800 N WOODSTOCK ST,5,Local
418,420276,1.33333333,800 N CAPITOL ST,800 N CAPITOL ST,5,Local
419,421628,1.33333333,2000 PARRISH ST,2000 PARRISH ST,5,Local
420,421613,2.66666667,800 N 20TH ST,800 N 20TH ST,4,Collector
421,420278,2.66666667,800 N 20TH ST,800 N 20TH ST,4,Collector
422,421609,1.33333333,800 N OPAL ST,800 N OPAL ST,5,Local
423,421630,2,1900 PARRISH ST,1900 PARRISH ST,5,Local
424,421629,2,1900 PARRISH ST,1900 PARRISH ST,5,Local
425,421516,2,1800 VINEYARD ST,1800 VINEYARD ST,5,Local
426,421631,2,1900 PARRISH ST,1900 PARRISH ST,5,Local
427,421598,2,800 N 19TH ST,700 N 19TH ST,4,Collector
428,421597,1.33333333,800 N 19TH ST,800 N 19TH ST,4,Collector
429,421507,2.33333333,800 CAMERON ST,800 CAMERON ST,5,Local
430,421511,2.33333333,800 CAMERON ST,800 CAMERON ST,5,Local
431,420280,2.66666667,800 N UBER ST,800 N UBER ST,5,Local
432,421633,2,800 CORINTHIAN AVE,800 CORINTHIAN AVE,4,Collector
433,421634,1.33333333,2000 PARRISH ST,2000 PARRISH ST,5,Local
434,421575,1.33333333,2000 POPLAR ST,2000 POPLAR ST,4,Collector
435,420235,1.33333333,800 N 21ST ST,800 N 21ST ST,4,Collector
436,421574,1.33333333,2100 POPLAR ST,2100 POPLAR ST,4,Collector
437,420233,1.33333333,800 N BEECHWOOD ST,800 N BEECHWOOD ST,5,Local
438,421626,1.33333333,2100 PARRISH ST,2100 PARRISH ST,5,Local
169,421805,1.33333333,600 N 20TH ST,600 N 20TH ST,4,Collector
170,421804,1.33333333,600 N 20TH ST,600 N 20TH ST,4,Collector
171,421788,1.66666667,2000 FAIRMOUNT AVE,2000 FAIRMOUNT AVE,3,Minor Arterial
172,421789,1.66666667,2000 FAIRMOUNT AVE,2000 FAIRMOUNT AVE,3,Minor Arterial
173,421451,1.33333333,1900 FAIRMOUNT AVE,1900 FAIRMOUNT AVE,3,Minor Arterial
174,421790,1.66666667,2000 FAIRMOUNT AVE,2000 FAIRMOUNT AVE,3,Minor Arterial
175,421799,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
176,421794,1.33333333,2100 FAIRMOUNT AVE,2100 FAIRMOUNT AVE,3,Minor Arterial
177,421795,1.33333333,2200 FAIRMOUNT AVE,2100 FAIRMOUNT AVE,3,Minor Arterial
178,421796,1.33333333,600 N 22ND ST,600 N 22ND ST,4,Collector
179,420374,1.33333333,2100 WALLACE ST,2100 WALLACE ST,4,Collector
180,421454,1.33333333,1900 FAIRMOUNT AVE,1900 FAIRMOUNT AVE,3,Minor Arterial
181,421501,2,700 N 19TH ST,700 N 19TH ST,4,Collector
182,421453,1.33333333,1800 FAIRMOUNT AVE,1800 FAIRMOUNT AVE,3,Minor Arterial
183,421622,2.22222222,700 CORINTHIAN AVE,700 CORINTHIAN AVE,4,Collector
184,420277,1.66666667,2000 BROWN ST,2000 BROWN ST,4,Collector
185,420335,1.33333333,700 N CAPITOL ST,700 N CAPITOL ST,5,Local
186,420279,1.66666667,2000 BROWN ST,2000 BROWN ST,4,Collector
187,420334,1.33333333,700 N 20TH ST,700 N 20TH ST,4,Collector
188,420281,2,1900 BROWN ST,1900 BROWN ST,4,Collector
189,421510,2,700 N UBER ST,700 N UBER ST,5,Local
190,420283,2,1900 BROWN ST,1900 BROWN ST,4,Collector
191,420274,1.66666667,2000 BROWN ST,2000 BROWN ST,4,Collector
192,421499,2,700 N 19TH ST,700 N 19TH ST,4,Collector
193,421500,2,700 N 19TH ST,700 N 19TH ST,4,Collector
194,421513,2,1700 VINEYARD ST,1700 VINEYARD ST,5,Local
195,421508,2,1800 WYLIE ST,1800 WYLIE ST,5,Local
196,421514,2,1800 VINEYARD ST,1800 VINEYARD ST,5,Local
197,420234,1.33333333,800 PERKIOMEN ST,800 PERKIOMEN ST,5,Local
198,421515,2,1800 VINEYARD ST,1800 VINEYARD ST,5,Local
199,543284,1.55555556,1400 MASTER ST,1400 MASTER ST,4,Collector
200,440016,2,1200 N BROAD ST,1200 N BROAD ST,2,Major Arterial
201,440049,2,1200 N BROAD ST,1200 N BROAD ST,2,Major Arterial
202,440001,1.77777778,1300 N BROAD ST,1300 N BROAD ST,2,Major Arterial
203,440002,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
204,440017,1.33333333,1400 W STILES ST,1400 W STILES ST,5,Local
205,440050,2.66666667,1400 W GIRARD AVE,1400 W GIRARD AVE,2,Major Arterial
206,440111,2.66666667,900 N BROAD ST,900 N BROAD ST,2,Major Arterial
207,440112,2,1400 POPLAR ST,1400 POPLAR ST,4,Collector
208,440162,2,1400 PARRISH ST,1400 PARRISH ST,4,Collector
209,440199,2,800 N BROAD ST,800 N BROAD ST,2,Major Arterial
210,440200,2.66666667,1400 BROWN ST,1400 BROWN ST,4,Collector
211,440257,2.0952381,600 N BROAD ST,600 N BROAD ST,2,Major Arterial
212,440830,2,1400 MELON ST,1400 MELON ST,5,Local
213,440833,1.33333333,1400 NORTH ST,1400 NORTH ST,5,Local
214,440240,2.0952381,600 N BROAD ST,600 N BROAD ST,2,Major Arterial
215,441117,1.33333333,1400 WALLACE ST,1400 WALLACE ST,4,Collector
216,440836,2.0952381,600 N BROAD ST,600 N BROAD ST,2,Major Arterial
217,440834,1.33333333,1400 MOUNT VERNON ST,1400 MOUNT VERNON ST,5,Local
218,440837,2.0952381,600 N BROAD ST,600 N BROAD ST,2,Major Arterial
219,440838,2.0952381,600 N BROAD ST,600 N BROAD ST,2,Major Arterial
220,420505,1.33333333,1500 GREEN ST,1500 GREEN ST,4,Collector
221,420550,1.33333333,500 N 15TH ST,500 N 15TH ST,4,Collector
222,420504,2,600 N 15TH ST,600 N 15TH ST,4,Collector
223,440831,1.33333333,1400 GREEN ST,1400 GREEN ST,4,Collector
224,440839,2.0952381,500 N BROAD ST,600 N BROAD ST,2,Major Arterial
225,440841,1.33333333,500 N BROAD ST,500 N BROAD ST,2,Major Arterial
226,440835,1.33333333,1400 BRANDYWINE ST,1400 BRANDYWINE ST,4,Collector
227,440842,1.33333333,500 N BROAD ST,500 N BROAD ST,2,Major Arterial
228,421608,2.66666667,800 N UBER ST,800 N UBER ST,5,Local
229,421612,2.66666667,800 N 20TH ST,800 N 20TH ST,4,Collector
230,421607,1.33333333,2000 OGDEN ST,2000 OGDEN ST,5,Local
231,421620,2,800 CORINTHIAN AVE,800 CORINTHIAN AVE,4,Collector
232,421577,1.33333333,2000 POPLAR ST,2000 POPLAR ST,4,Collector
233,421576,1.33333333,2000 POPLAR ST,2000 POPLAR ST,4,Collector
234,421469,1.33333333,1700 FOLSOM ST,1700 FOLSOM ST,5,Local
235,421493,2.66666667,700 N 18TH ST,700 N 18TH ST,4,Collector
236,421492,1.77777778,800 N 17TH ST,800 N 17TH ST,4,Collector
237,421471,1.33333333,1700 BROWN ST,1700 BROWN ST,4,Collector
238,421502,2.66666667,1700 FRANCIS ST,1700 FRANCIS ST,4,Collector
239,421488,2.40681291,800 N 16TH ST,800 N 16TH ST,4,Collector
240,421477,2,1600 OLIVE ST,1600 OLIVE ST,5,Local
241,421475,2,1600 OLIVE ST,1600 OLIVE ST,5,Local
242,421463,2,700 N 15TH ST,700 N 15TH ST,4,Collector
243,420370,1.33333333,600 N BOUVIER ST,600 N BOUVIER ST,5,Local
244,420345,1.33333333,600 N BOUVIER ST,600 N BOUVIER ST,5,Local
245,421435,2,600 N 16TH ST,600 N 16TH ST,4,Collector
246,421495,2.66666667,700 N 18TH ST,700 N 18TH ST,4,Collector
247,421448,1.33333333,1700 FAIRMOUNT AVE,1700 FAIRMOUNT AVE,3,Minor Arterial
248,421452,1.33333333,1800 FAIRMOUNT AVE,1800 FAIRMOUNT AVE,3,Minor Arterial
249,420379,1.33333333,1700 NORTH ST,1700 NORTH ST,5,Local
250,420371,1.33333333,1700 NORTH ST,1700 NORTH ST,5,Local
251,421441,1.33333333,600 N 18TH ST,600 N 18TH ST,4,Collector
252,421429,1.33333333,1600 NORTH ST,1600 NORTH ST,5,Local
253,421436,2,600 N 16TH ST,600 N 16TH ST,4,Collector
254,421430,1.33333333,1500 NORTH ST,1500 NORTH ST,5,Local
255,421437,2,600 N 16TH ST,600 N 16TH ST,4,Collector
256,421440,1.33333333,600 N 17TH ST,600 N 17TH ST,4,Collector
257,420409,2.66666667,1600 WALLACE ST,1600 WALLACE ST,4,Collector
258,421442,1.33333333,600 N 18TH ST,600 N 18TH ST,4,Collector
259,420404,2,1700 WALLACE ST,1700 WALLACE ST,4,Collector
260,420399,1.33333333,1800 WALLACE ST,1800 WALLACE ST,4,Collector
261,422107,2,600 N 15TH ST,600 N 15TH ST,4,Collector
262,421447,1.33333333,1500 FAIRMOUNT AVE,1500 FAIRMOUNT AVE,3,Minor Arterial
263,421464,2,700 N 15TH ST,700 N 15TH ST,4,Collector
264,421434,1.33333333,600 N SYDENHAM ST,600 N SYDENHAM ST,5,Local
265,421431,1.33333333,1500 NORTH ST,1500 NORTH ST,5,Local
266,422003,1.33333333,1500 MELON ST,1500 MELON ST,5,Local
267,421433,2,600 N 15TH ST,600 N 15TH ST,4,Collector
268,422004,2,600 N 15TH ST,600 N 15TH ST,4,Collector
269,420417,2,1500 WALLACE ST,1500 WALLACE ST,4,Collector
270,420458,2,600 N 15TH ST,600 N 15TH ST,4,Collector
271,420459,2,1500 MOUNT VERNON ST,1500 MOUNT VERNON ST,5,Local
272,420447,2,600 N 16TH ST,600 N 16TH ST,4,Collector
273,420438,1.33333333,600 N 17TH ST,600 N 17TH ST,4,Collector
274,420448,1.33333333,1600 MOUNT VERNON ST,1600 MOUNT VERNON ST,5,Local
275,420495,2,600 N 16TH ST,600 N 16TH ST,4,Collector
276,420538,1.33333333,500 N 16TH ST,500 N 16TH ST,4,Collector
277,420551,1.33333333,1500 BRANDYWINE ST,1500 BRANDYWINE ST,4,Collector
278,420439,2,1700 MOUNT VERNON ST,1700 MOUNT VERNON ST,5,Local
279,420539,1.33333333,1600 BRANDYWINE ST,1600 BRANDYWINE ST,4,Collector
280,421443,1.33333333,600 N 18TH ST,600 N 18TH ST,4,Collector
281,420496,1.33333333,1600 GREEN ST,1600 GREEN ST,4,Collector
282,420485,1.33333333,600 N 17TH ST,600 N 17TH ST,4,Collector
283,420486,2,1700 GREEN ST,1700 GREEN ST,4,Collector
284,420474,1.33333333,600 N 18TH ST,600 N 18TH ST,4,Collector
285,420526,1.33333333,500 N 17TH ST,500 N 17TH ST,4,Collector
286,421604,2.66666667,1800 W GIRARD AVE,1800 W GIRARD AVE,2,Major Arterial
287,421589,2,1800 RIDGE AVE,1800 RIDGE AVE,3,Minor Arterial
288,421570,1.33333333,1800 GINNODO ST,1800 GINNODO ST,5,Local
289,421616,2,900 N 20TH ST,900 N 20TH ST,4,Collector
290,421578,1.33333333,1900 POPLAR ST,1900 POPLAR ST,4,Collector
291,421579,1.33333333,1900 POPLAR ST,1900 POPLAR ST,4,Collector
292,421585,2.66666667,900 N 18TH ST,900 N 18TH ST,4,Collector
